time,year,month,lat,lon,lw_down,sw_down,t,wind,q,pstar,Rainf_GPCC,precip,date_time_utc,date_time_local,cosz,diff_rad
777600,2003,1,-22.698538,-47.642881,438.31757,7.617128017,300.8512386,0.393303725,0.022769855,94033.80961,3.82E-05,5.94E-05,01/10/2003 0:00,01/09/2003 21:00,0,7.617128017
788400,2003,1,-22.698538,-47.642881,418.0072,0,299.2429944,0.846202303,0.01943994,94067.35599,0.000137583,0,01/10/2003 3:00,01/10/2003 0:00,0,0
799200,2003,1,-22.698538,-47.642881,406.49554,0,297.1213798,0.858468044,0.017711486,93962.97677,0.000174952,0,01/10/2003 6:00,01/10/2003 3:00,0,0
810000,2003,1,-22.698538,-47.642881,413.18323,0.432928625,296.294378,0.823897404,0.016947131,94042.61476,0.000170386,0,01/10/2003 9:00,01/10/2003 6:00,0.105532917,0.432928625
820800,2003,1,-22.698538,-47.642881,423.09995,219.8214577,299.2000241,1.895928249,0.018886854,94197.61377,0.000266031,0,01/10/2003 12:00,01/10/2003 9:00,0.721000455,216.2283251
831600,2003,1,-22.698538,-47.642881,438.8807,730.5711641,301.4843925,2.166715304,0.022246003,93984.0435,0.000194314,0,01/10/2003 15:00,01/10/2003 12:00,0.999029357,514.2669187
842400,2003,1,-22.698538,-47.642881,442.1498,769.3800667,302.592764,1.56735952,0.024121572,93837.51095,0.000200091,0,01/10/2003 18:00,01/10/2003 15:00,0.776754063,368.7264719
853200,2003,1,-22.698538,-47.642881,432.77103,307.9659666,301.3268012,0.91004257,0.02307582,93855.42114,4.53E-05,0,01/10/2003 21:00,01/10/2003 18:00,0.184380425,117.7125175
864000,2003,1,-22.698538,-47.642881,430.89975,2.065748619,300.057266,0.915386606,0.021633501,94052.46313,0.000299398,0,01/11/2003 0:00,01/10/2003 21:00,0,2.065748619
874800,2003,1,-22.698538,-47.642881,433.5968,0,295.2557691,0.57183377,0.018421574,94103.18772,0.000243859,0,01/11/2003 3:00,01/11/2003 0:00,0,0
